id,title,artist,language,duration,release_date,isrc,upc,repertoire_owner,link,publishing_details,version,created_at,updated_at,remark,type,master_recording_details
49238335-4b1f-4a49-a4b8-9a1a036189e7,Wake Up,"[""Akkimwaru""]",Malay,"1' 46""",2022-09-24,,,,https://soundcloud.com/user-342407375/wake-up,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""}]}",,2025-01-04 13:46:45.808499+00,2025-01-04 13:46:45.808499+00,,Original,"{""upc"":"""",""isrc"":"""",""version"":""Audio"",""repertoireOwner"":""Muhammad Danish Hakimi bin Joni Muhamat""}"
493b042a-a0df-4ffc-85e4-bc8e9d406b45,ONEUTAMA,"[""GARD WUZGUT""]",Malay,"2'53""",2022-03-05,N/A,N/A,,,"{""roles"":[{""role"":""CA"",""publisher"":""ARIEF OTHMAN"",""percentage"":""27.50%"",""songwriter"":""ARIEF OTHMAN""},{""role"":""CA"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""13.75%"",""songwriter"":""BAQHTEAR RASHID""},{""role"":""CA"",""publisher"":""KHODI"",""percentage"":""8.75%"",""songwriter"":""KHODI""},{""role"":""CA"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""13.75%"",""songwriter"":""SHAZRUL REJAB""},{""role"":""E"",""publisher"":""SONY MUSIC PUBLISHING SDN BHD"",""percentage"":""8.75%"",""songwriter"":""SONY MUSIC PUBLISHING SDN BHD""},{""role"":""SE"",""publisher"":""TAJA ARCHIVE SDN BHD"",""percentage"":""13.75%""},{""role"":""SE"",""publisher"":""TAJA ARCHIVE SDN BHD"",""percentage"":""13.75%""}]}",,2025-01-04 14:34:20.849808+00,2025-01-04 14:34:20.849808+00,,Original,"{""upc"":""N/A"",""isrc"":""N/A"",""version"":""AUDIO"",""repertoireOwner"":""BAQHTEAR RASHID/SHAZRUL REJAB""}"
4b5012a3-c569-4b69-a7c6-4f85f52b6c36,VRD,"[""Akkimwaru""]",Malay,"2' 56""",2023-07-06,SE6XY2300626,,,https://www.youtube.com/watch?v=-i0i70IE6OY,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""}]}",,2025-01-04 13:46:45.808499+00,2025-01-04 13:46:45.808499+00,,Original,"{""upc"":"""",""isrc"":""SE6XY2300626"",""version"":""Audio"",""repertoireOwner"":""Muhammad Danish Hakimi bin Joni Muhamat""}"
4c2420e1-ae62-4b2a-a5e3-b1ec15a5d61c,Masa,"[""Nobi""]",Malay,,2024-09-28,MYSZ3 24 10031,,,https://www.youtube.com/watch?v=idmyzrgqRhM,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""25.00%"",""songwriter"":""Amirul Asrar bin Mazlan""},{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""25.00%"",""songwriter"":""Johnasa""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Amirul Asrar bin Mazlan""}]}",,2025-01-04 14:46:46.538938+00,2025-01-04 14:46:46.538938+00,,Original,"{""upc"":"""",""isrc"":""MYSZ3 24 10031"",""version"":""Audio"",""repertoireOwner"":""Amirul Asrar bin Mazlan""}"
4e8ed6a2-2eda-4f1c-9e4e-397d371b90c0,MALIS SEJUK,"[""GARD WUZGUT""]",Malay,"4'0""",2019-08-15,N/A,N/A,,,"{""roles"":[{""role"":""CA"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""16.66%"",""songwriter"":""BAQHTEAR RASHID""},{""role"":""CA"",""publisher"":""NORMALIS NORDIN"",""percentage"":""33.32%"",""songwriter"":""NORMALIS NORDIN""},{""role"":""CA"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""16.68%"",""songwriter"":""SHAZRUL REJAB""},{""role"":""SE"",""publisher"":""TAJA ARCHIVE SDN BHD"",""percentage"":""16.68%""},{""role"":""SE"",""publisher"":""TAJA ARCHIVE SDN BHD"",""percentage"":""16.66%""}]}",,2025-01-04 14:33:05.446755+00,2025-01-04 14:33:05.446755+00,,Original,"{""upc"":""N/A"",""isrc"":""N/A"",""version"":""AUDIO"",""repertoireOwner"":""BAQHTEAR RASHID/SHAZRUL REJAB""}"
4f051cdc-a2a9-47ec-9c5a-257120b4cc68,BZ,"[""Akkimwaru""]",Malay,"2'21""",2024-06-29,MYSZ3 24 10017,,,,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""}]}",,2025-01-04 13:46:45.808499+00,2025-01-04 13:46:45.808499+00,,Original,"{""upc"":"""",""isrc"":""MYSZ3 24 10017"",""version"":""Audio"",""repertoireOwner"":""Muhammad Danish Hakimi bin Joni Muhamat""}"
5072b238-e208-4c91-8285-2d0a5eb9474b,R Sterling,"[""Quai""]",Malay,"1' 31""",2023-07-28,SE6XW2387784,,,https://music.apple.com/my/album/r-sterling/1697860983?i=1697860989,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""QUAI""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""QUAI""}]}",,2025-01-04 15:02:53.131847+00,2025-01-04 15:02:53.131847+00,,Original,"{""upc"":"""",""isrc"":""SE6XW2387784"",""version"":""AUDIO"",""repertoireOwner"":""Ikhmal Danial Bin Helme Iskandar""}"
53b6f058-b080-483c-ba36-fea3ba63f845,MINI WARU,"[""Akkimwaru""]",Malay,"2' 09""",2023-04-19,,,,https://soundcloud.com/user-342407375/mini-waru,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""}]}",,2025-01-04 13:46:45.808499+00,2025-01-04 13:46:45.808499+00,,Original,"{""upc"":"""",""isrc"":"""",""version"":""Audio"",""repertoireOwner"":""Muhammad Danish Hakimi bin Joni Muhamat""}"
545e5b11-ec6e-4552-952a-91489c88569d,Ballerina,"[""Nobi""]",Malay,"1' 47""",2020-12-24,QZFYZ2074691,,,https://www.youtube.com/watch?v=zZgT4KssTbo,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""25.00%"",""songwriter"":""Amirul Asrar bin Mazlan""},{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""25.00%"",""songwriter"":""Johnasa""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Amirul Asrar bin Mazlan""}]}",,2025-01-04 14:45:03.410177+00,2025-01-04 14:45:03.410177+00,,Original,"{""upc"":"""",""isrc"":""QZFYZ2074691"",""version"":""Audio"",""repertoireOwner"":""Amirul Asrar bin Mazlan""}"
55592255-3385-473a-8e37-63b82ec2e4a3,TIBA MASA,"[""Akkimwaru""]",Malay,"1' 47""",2023-08-12,SE6TI2335047,,,https://www.youtube.com/watch?v=H40cWBWGO00,"{""roles"":[{""role"":""C"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""},{""role"":""A"",""publisher"":""0108 SLATAN SOLUTION"",""percentage"":""50.00%"",""songwriter"":""Muhammad Danish Hakimi bin Joni Muhamat""}]}",,2025-01-04 13:46:45.808499+00,2025-01-04 13:46:45.808499+00,,Original,"{""upc"":"""",""isrc"":""SE6TI2335047"",""version"":""Audio"",""repertoireOwner"":""Muhammad Danish Hakimi bin Joni Muhamat""}"
